>index	chr	ext_probe_start	ext_probe_stop	lig_probe_start	lig_probe_stop
186	chr6	7535321	7535342	7535450	7535472
187	chr6	7535430	7535449	7535557	7535581
187	chr6	7535430	7535449	7535557	7535581
188	chr6	7535656	7535675	7535524	7535548
189	chr6	7535760	7535780	7535629	7535652
189	chr6	7535760	7535780	7535629	7535652
190	chr6	7535862	7535882	7535731	7535754
191	chr6	7535969	7535989	7535838	7535861
192	chr6	7536070	7536089	7535938	7535962
193	chr6	7536159	7536178	7536027	7536051
194	chr6	7536134	7536155	7536263	7536285
195	chr6	7536348	7536368	7536217	7536240
196	chr6	7536451	7536470	7536319	7536343
197	chr6	7536555	7536574	7536423	7536447
198	chr6	7536522	7536542	7536650	7536673
198	chr6	7536522	7536542	7536650	7536673
199	chr6	7536728	7536747	7536596	7536620
200	chr6	7536708	7536727	7536835	7536859
201	chr6	7536936	7536956	7536805	7536828
202	chr6	7537043	7537064	7536913	7536935
203	chr6	7537150	7537169	7537018	7537042
204	chr6	7537120	7537141	7537249	7537271
205	chr6	7537224	7537244	7537352	7537375
206	chr6	7537430	7537449	7537298	7537322
207	chr6	7537528	7537548	7537397	7537420
208	chr6	7537613	7537632	7537481	7537505
209	chr6	7537587	7537606	7537714	7537738
210	chr6	7537821	7537841	7537690	7537713
211	chr6	7537928	7537947	7537796	7537820
212	chr6	7538035	7538054	7537903	7537927
213	chr6	7538012	7538031	7538139	7538163
214	chr6	7538117	7538138	7538246	7538268
215	chr6	7538345	7538366	7538215	7538237
216	chr6	7538293	7538314	7538422	7538444
217	chr6	7538501	7538521	7538370	7538393
218	chr6	7538603	7538624	7538473	7538495
219	chr6	7538581	7538602	7538710	7538732
220	chr6	7538817	7538837	7538686	7538709
221	chr6	7538901	7538920	7538769	7538793
222	chr6	7539008	7539027	7538876	7538900
223	chr6	7538987	7539007	7539115	7539138
224	chr6	7539213	7539233	7539082	7539105
225	chr6	7539320	7539341	7539190	7539212
226	chr6	7539419	7539439	7539288	7539311
227	chr6	7539399	7539418	7539526	7539550
228	chr6	7539501	7539520	7539628	7539652
229	chr6	7539706	7539725	7539574	7539598
230	chr6	7539799	7539820	7539669	7539691
231	chr6	7539903	7539922	7539771	7539795
232	chr6	7539882	7539902	7540010	7540033
233	chr6	7539989	7540009	7540117	7540140
234	chr6	7540096	7540116	7540224	7540247
235	chr6	7540312	7540331	7540180	7540204
236	chr6	7540280	7540300	7540408	7540431
237	chr6	7540515	7540535	7540384	7540407
238	chr6	7540593	7540613	7540462	7540485
239	chr6	7540549	7540570	7540678	7540700
240	chr6	7540656	7540677	7540785	7540807
241	chr6	7540740	7540759	7540867	7540891
242	chr6	7540841	7540862	7540970	7540992
243	chr6	7541053	7541073	7540922	7540945
244	chr6	7541010	7541030	7541138	7541161
245	chr6	7541216	7541237	7541086	7541108
246	chr6	7541196	7541215	7541323	7541347
247	chr6	7541302	7541322	7541430	7541453
248	chr6	7541528	7541548	7541397	7541420
249	chr6	7541613	7541633	7541482	7541505
250	chr6	7542598	7542617	7542725	7542749
251	chr6	7542805	7542825	7542674	7542697
252	chr6	7542908	7542929	7542778	7542800
253	chr6	7543126	7543146	7542995	7543018
254	chr6	7543210	7543229	7543078	7543102
254	chr6	7543210	7543229	7543078	7543102
255	chr6	7543293	7543312	7543161	7543185
256	chr6	7543376	7543397	7543246	7543268
257	chr6	7543341	7543362	7543470	7543492
258	chr6	7543548	7543567	7543416	7543440
259	chr6	7543528	7543547	7543655	7543679
260	chr6	7543753	7543772	7543621	7543645
261	chr6	7543720	7543739	7543847	7543871
262	chr6	7543928	7543947	7543796	7543820
263	chr6	7543904	7543924	7544032	7544055
264	chr6	7544109	7544128	7543977	7544001
265	chr6	7544060	7544080	7544188	7544211
265	chr6	7544060	7544080	7544188	7544211
266	chr6	7544294	7544315	7544164	7544186
267	chr6	7544394	7544414	7544263	7544286
268	chr6	7544372	7544393	7544501	7544523
269	chr6	7544464	7544485	7544593	7544615
270	chr6	7544569	7544589	7544697	7544720
271	chr6	7544797	7544816	7544665	7544689
272	chr6	7544760	7544780	7544888	7544911
273	chr6	7544848	7544868	7544976	7544999
274	chr6	7545060	7545079	7544928	7544952
275	chr6	7545166	7545187	7545036	7545058
276	chr6	7545198	7545217	7545325	7545349
277	chr6	7545287	7545306	7545414	7545438
278	chr6	7545394	7545413	7545521	7545545
279	chr6	7545481	7545502	7545610	7545632
280	chr6	7545577	7545596	7545704	7545728
281	chr6	7545683	7545703	7545811	7545834
282	chr6	7545900	7545919	7545768	7545792
283	chr6	7545878	7545899	7546007	7546029
284	chr6	7546107	7546128	7545977	7545999
285	chr6	7546086	7546106	7546214	7546237
286	chr6	7546321	7546342	7546191	7546213
287	chr6	7546426	7546446	7546295	7546318
288	chr6	7546377	7546397	7546505	7546528
289	chr6	7546585	7546605	7546454	7546477
290	chr6	7546542	7546562	7546670	7546693
291	chr6	7546773	7546793	7546642	7546665
292	chr6	7546740	7546761	7546869	7546891
293	chr6	7546948	7546967	7546816	7546840
294	chr6	7547052	7547072	7546921	7546944
295	chr6	7547146	7547166	7547015	7547038
296	chr6	7547102	7547121	7547229	7547253
297	chr6	7547199	7547220	7547328	7547350
298	chr6	7547289	7547309	7547417	7547440
298	chr6	7547289	7547309	7547417	7547440
299	chr6	7547524	7547544	7547393	7547416
300	chr6	7547501	7547520	7547628	7547652
301	chr6	7547731	7547751	7547600	7547623
302	chr6	7547858	7547877	7547726	7547750
303	chr6	7547942	7547963	7547812	7547834
304	chr6	7548049	7548070	7547919	7547941
305	chr6	7548153	7548174	7548023	7548045
306	chr6	7548133	7548152	7548260	7548284
307	chr6	7548367	7548386	7548235	7548259
308	chr6	7548491	7548512	7548361	7548383
309	chr6	7548488	7548508	7548616	7548639
309	chr6	7548488	7548508	7548616	7548639
310	chr6	7548697	7548716	7548565	7548589
311	chr6	7548675	7548696	7548804	7548826
312	chr6	7548783	7548803	7548911	7548934
313	chr6	7549006	7549026	7548875	7548898
314	chr6	7549085	7549105	7548954	7548977
315	chr6	7549064	7549084	7549192	7549215
316	chr6	7549171	7549190	7549298	7549322
317	chr6	7549256	7549275	7549383	7549407
318	chr6	7549348	7549367	7549475	7549499
319	chr6	7549497	7549516	7549624	7549648
320	chr6	7549560	7549581	7549689	7549711
321	chr6	7549817	7549837	7549686	7549709
322	chr6	7549794	7549813	7549921	7549945
323	chr6	7550026	7550047	7549896	7549918
324	chr6	7550131	7550151	7550000	7550023
325	chr6	7550104	7550123	7550231	7550255
326	chr6	7550189	7550208	7550316	7550340
327	chr6	7550423	7550442	7550291	7550315
328	chr6	7550401	7550422	7550530	7550552
329	chr6	7550637	7550657	7550506	7550529
330	chr6	7550744	7550764	7550613	7550636
331	chr6	7550694	7550713	7550821	7550845
332	chr6	7550790	7550809	7550917	7550941
333	chr6	7550872	7550891	7550999	7551023
334	chr6	7550968	7550989	7551097	7551119
335	chr6	7551053	7551073	7551181	7551204
336	chr6	7551270	7551289	7551138	7551162
337	chr6	7551338	7551357	7551465	7551489
338	chr6	7551588	7551609	7551458	7551480
339	chr6	7551551	7551570	7551678	7551702
339	chr6	7551551	7551570	7551678	7551702
340	chr6	7551657	7551677	7551785	7551808
340	chr6	7551657	7551677	7551785	7551808
341	chr6	7551763	7551784	7551892	7551914
342	chr6	7551862	7551882	7551990	7552013
343	chr6	7551970	7551989	7552097	7552121
344	chr6	7552071	7552092	7552200	7552222
345	chr6	7552178	7552199	7552307	7552329
346	chr6	7552393	7552412	7552261	7552285
346	chr6	7552393	7552412	7552261	7552285
347	chr6	7552486	7552506	7552355	7552378
348	chr6	7552488	7552507	7552615	7552639
349	chr6	7552757	7552776	7552625	7552649
350	chr6	7552829	7552848	7552697	7552721
351	chr6	7552807	7552826	7552934	7552958
352	chr6	7552909	7552930	7553038	7553060
353	chr6	7553009	7553028	7553136	7553160
354	chr6	7553243	7553263	7553112	7553135
354	chr6	7553243	7553263	7553112	7553135
355	chr6	7553336	7553356	7553205	7553228
356	chr6	7553305	7553325	7553433	7553456
357	chr6	7553540	7553559	7553408	7553432
358	chr6	7553511	7553532	7553640	7553662
359	chr6	7553619	7553639	7553747	7553770
360	chr6	7553848	7553868	7553717	7553740
361	chr6	7553827	7553847	7553955	7553978
362	chr6	7554038	7554057	7553906	7553930
363	chr6	7554115	7554136	7553985	7554007
363	chr6	7554115	7554136	7553985	7554007
364	chr6	7554208	7554227	7554076	7554100
365	chr6	7554178	7554197	7554305	7554329
366	chr6	7554394	7554414	7554263	7554286
367	chr6	7554501	7554521	7554370	7554393
368	chr6	7554608	7554627	7554476	7554500
368	chr6	7554608	7554627	7554476	7554500
369	chr6	7554582	7554601	7554709	7554733
370	chr6	7554811	7554832	7554681	7554703
371	chr6	7554784	7554804	7554912	7554935
372	chr6	7555019	7555039	7554888	7554911
373	chr6	7555126	7555146	7554995	7555018
374	chr6	7555204	7555223	7555072	7555096
375	chr6	7555183	7555203	7555311	7555334
376	chr6	7555391	7555412	7555261	7555283
377	chr6	7555477	7555497	7555346	7555369
378	chr6	7555428	7555449	7555557	7555579
379	chr6	7555664	7555683	7555532	7555556
380	chr6	7555641	7555660	7555768	7555792
381	chr6	7555860	7555879	7555728	7555752
382	chr6	7555961	7555982	7555831	7555853
383	chr6	7555939	7555960	7556068	7556090
384	chr6	7556168	7556188	7556037	7556060
385	chr6	7556148	7556167	7556275	7556299
386	chr6	7556382	7556403	7556252	7556274
387	chr6	7556362	7556381	7556489	7556513
388	chr6	7556451	7556470	7556578	7556602
389	chr6	7556663	7556683	7556532	7556555
389	chr6	7556663	7556683	7556532	7556555
390	chr6	7556762	7556783	7556632	7556654
391	chr6	7556739	7556759	7556867	7556890
392	chr6	7556844	7556865	7556973	7556995
393	chr6	7557069	7557089	7556938	7556961
394	chr6	7557049	7557068	7557176	7557200
395	chr6	7557270	7557290	7557139	7557162
396	chr6	7557221	7557241	7557349	7557372
397	chr6	7557456	7557475	7557324	7557348
398	chr6	7557551	7557570	7557419	7557443
399	chr6	7557637	7557658	7557507	7557529
400	chr6	7557617	7557636	7557744	7557768
401	chr6	7557770	7557791	7557899	7557921
402	chr6	7557943	7557962	7557811	7557835
402	chr6	7557943	7557962	7557811	7557835
403	chr6	7558030	7558050	7557899	7557922
403	chr6	7558030	7558050	7557899	7557922
404	chr6	7558131	7558152	7558001	7558023
405	chr6	7558235	7558255	7558104	7558127
406	chr6	7558203	7558223	7558331	7558354
407	chr6	7558425	7558445	7558294	7558317
408	chr6	7558403	7558422	7558530	7558554
409	chr6	7558489	7558510	7558618	7558640
410	chr6	7558594	7558614	7558722	7558745
411	chr6	7558821	7558842	7558691	7558713
412	chr6	7558801	7558820	7558928	7558952
413	chr6	7558894	7558914	7559022	7559045
413	chr6	7558894	7558914	7559022	7559045
414	chr6	7559129	7559149	7558998	7559021
415	chr6	7559236	7559257	7559106	7559128
416	chr6	7559211	7559232	7559340	7559362
417	chr6	7559421	7559442	7559291	7559313
417	chr6	7559421	7559442	7559291	7559313
418	chr6	7559528	7559548	7559397	7559420
419	chr6	7559614	7559633	7559482	7559506
420	chr6	7559594	7559613	7559721	7559745
421	chr6	7559828	7559849	7559698	7559720
422	chr6	7559917	7559937	7559786	7559809
423	chr6	7559868	7559888	7559996	7560019
424	chr6	7560103	7560123	7559972	7559995
425	chr6	7560210	7560230	7560079	7560102
426	chr6	7560317	7560338	7560187	7560209
427	chr6	7560406	7560427	7560276	7560298
428	chr6	7560494	7560513	7560362	7560386
429	chr6	7560589	7560608	7560457	7560481
430	chr6	7560549	7560568	7560676	7560700
431	chr6	7560773	7560792	7560641	7560665
432	chr6	7560880	7560900	7560749	7560772
433	chr6	7560849	7560868	7560976	7561000
434	chr6	7560940	7560961	7561069	7561091
435	chr6	7561104	7561124	7561232	7561255
436	chr6	7561336	7561355	7561204	7561228
436	chr6	7561336	7561355	7561204	7561228
437	chr6	7561443	7561462	7561311	7561335
438	chr6	7561421	7561442	7561550	7561572
439	chr6	7561627	7561646	7561495	7561519
440	chr6	7561604	7561625	7561733	7561755
441	chr6	7561829	7561849	7561698	7561721
442	chr6	7561793	7561813	7561921	7561944
443	chr6	7562023	7562042	7561891	7561915
444	chr6	7561984	7562003	7562111	7562135
445	chr6	7562072	7562092	7562200	7562223
446	chr6	7562291	7562311	7562160	7562183
447	chr6	7562256	7562276	7562384	7562407
448	chr6	7562334	7562353	7562461	7562485
449	chr6	7562568	7562588	7562437	7562460
450	chr6	7562547	7562567	7562675	7562698
451	chr6	7562631	7562650	7562758	7562782
452	chr6	7562865	7562886	7562735	7562757
453	chr6	7562943	7562964	7562813	7562835
454	chr6	7562910	7562929	7563037	7563061
455	chr6	7563013	7563034	7563142	7563164
456	chr6	7563118	7563137	7563245	7563269
457	chr6	7563339	7563359	7563208	7563231
458	chr6	7563318	7563338	7563446	7563469
459	chr6	7563395	7563415	7563523	7563546
460	chr6	7563502	7563522	7563630	7563653
461	chr6	7563735	7563754	7563603	7563627
462	chr6	7563839	7563859	7563708	7563731
463	chr6	7563819	7563838	7563946	7563970
464	chr6	7563914	7563935	7564043	7564065
465	chr6	7564016	7564036	7564144	7564167
466	chr6	7564096	7564116	7564224	7564247
466	chr6	7564096	7564116	7564224	7564247
467	chr6	7564331	7564350	7564199	7564223
468	chr6	7564420	7564439	7564288	7564312
469	chr6	7564504	7564525	7564374	7564396
470	chr6	7564460	7564479	7564587	7564611
470	chr6	7564460	7564479	7564587	7564611
471	chr6	7564565	7564586	7564694	7564716
472	chr6	7564674	7564693	7564801	7564825
473	chr6	7564779	7564799	7564907	7564930
474	chr6	7564862	7564881	7564989	7565013
475	chr6	7564962	7564981	7565089	7565113
476	chr6	7565069	7565088	7565196	7565220
477	chr6	7565303	7565323	7565172	7565195
478	chr6	7565410	7565429	7565278	7565302
479	chr6	7565501	7565520	7565369	7565393
479	chr6	7565501	7565520	7565369	7565393
480	chr6	7565608	7565629	7565478	7565500
481	chr6	7565705	7565726	7565575	7565597
482	chr6	7565812	7565832	7565681	7565704
483	chr6	7565918	7565939	7565788	7565810
484	chr6	7565897	7565917	7566025	7566048
485	chr6	7566124	7566144	7565993	7566016
486	chr6	7566231	7566250	7566099	7566123
487	chr6	7566211	7566230	7566338	7566362
488	chr6	7566288	7566308	7566416	7566439
489	chr6	7566366	7566385	7566493	7566517
490	chr6	7566471	7566490	7566598	7566622
491	chr6	7566577	7566597	7566705	7566728
492	chr6	7566809	7566828	7566677	7566701
493	chr6	7566903	7566924	7566773	7566795
494	chr6	7566860	7566879	7566987	7567011
495	chr6	7567094	7567113	7566962	7566986
496	chr6	7567073	7567093	7567201	7567224
497	chr6	7567280	7567300	7567149	7567172
498	chr6	7567366	7567386	7567235	7567258
499	chr6	7567449	7567468	7567317	7567341
500	chr6	7567428	7567448	7567556	7567579
501	chr6	7567533	7567554	7567662	7567684
502	chr6	7567739	7567760	7567609	7567631
503	chr6	7567845	7567865	7567714	7567737
504	chr6	7567928	7567947	7567796	7567820
505	chr6	7567907	7567927	7568035	7568058
506	chr6	7568142	7568163	7568012	7568034
507	chr6	7568121	7568141	7568249	7568272
508	chr6	7568333	7568352	7568201	7568225
509	chr6	7568312	7568332	7568440	7568463
510	chr6	7568527	7568547	7568396	7568419
511	chr6	7568628	7568649	7568498	7568520
512	chr6	7568735	7568755	7568604	7568627
513	chr6	7568695	7568714	7568822	7568846
514	chr6	7568795	7568815	7568923	7568946
515	chr6	7568883	7568902	7569010	7569034
516	chr6	7568961	7568980	7569088	7569112
517	chr6	7569046	7569066	7569174	7569197
518	chr6	7569151	7569171	7569279	7569302
519	chr6	7569386	7569405	7569254	7569278
520	chr6	7569493	7569513	7569362	7569385
521	chr6	7569583	7569602	7569451	7569475
522	chr6	7569660	7569681	7569530	7569552
523	chr6	7569639	7569658	7569766	7569790
524	chr6	7569746	7569765	7569873	7569897
525	chr6	7569957	7569976	7569825	7569849
526	chr6	7569935	7569956	7570064	7570086
527	chr6	7570042	7570063	7570171	7570193
528	chr6	7570278	7570297	7570146	7570170
529	chr6	7570256	7570277	7570385	7570407
530	chr6	7570363	7570384	7570492	7570514
531	chr6	7570598	7570618	7570467	7570490
532	chr6	7570705	7570726	7570575	7570597
533	chr6	7570812	7570833	7570682	7570704
534	chr6	7570762	7570782	7570890	7570913
535	chr6	7570997	7571016	7570865	7570889
536	chr6	7571074	7571095	7570944	7570966
536	chr6	7571074	7571095	7570944	7570966
537	chr6	7571171	7571192	7571041	7571063
538	chr6	7571278	7571298	7571147	7571170
539	chr6	7571385	7571405	7571254	7571277
540	chr6	7571352	7571372	7571480	7571503
541	chr6	7571458	7571479	7571587	7571609
542	chr6	7571694	7571713	7571562	7571586
543	chr6	7571801	7571821	7571670	7571693
544	chr6	7571779	7571800	7571908	7571930
545	chr6	7571873	7571893	7572001	7572024
545	chr6	7571873	7571893	7572001	7572024
546	chr6	7572102	7572122	7571971	7571994
547	chr6	7572209	7572229	7572078	7572101
548	chr6	7572188	7572208	7572316	7572339
549	chr6	7572293	7572314	7572422	7572444
550	chr6	7572504	7572525	7572374	7572396
551	chr6	7572482	7572502	7572610	7572633
552	chr6	7572590	7572609	7572717	7572741
553	chr6	7572824	7572844	7572693	7572716
554	chr6	7572931	7572952	7572801	7572823
555	chr6	7572906	7572927	7573035	7573057
556	chr6	7573136	7573157	7573006	7573028
557	chr6	7573243	7573263	7573112	7573135
558	chr6	7573350	7573369	7573218	7573242
559	chr6	7573428	7573448	7573297	7573320
560	chr6	7573407	7573426	7573534	7573558
560	chr6	7573407	7573426	7573534	7573558
561	chr6	7573511	7573530	7573638	7573662
562	chr6	7573802	7573821	7573670	7573694
563	chr6	7573851	7573870	7573719	7573743
564	chr6	7573958	7573979	7573828	7573850
565	chr6	7573910	7573929	7574037	7574061
566	chr6	7574135	7574154	7574003	7574027
567	chr6	7574084	7574104	7574212	7574235
568	chr6	7574171	7574191	7574299	7574322
569	chr6	7574251	7574271	7574379	7574402
570	chr6	7574345	7574365	7574473	7574496
571	chr6	7574437	7574457	7574565	7574588
572	chr6	7574516	7574535	7574643	7574667
573	chr6	7574750	7574771	7574620	7574642
574	chr6	7574855	7574874	7574723	7574747
575	chr6	7574959	7574979	7574828	7574851
576	chr6	7574926	7574945	7575053	7575077
577	chr6	7575025	7575045	7575153	7575176
578	chr6	7575132	7575152	7575260	7575283
579	chr6	7575240	7575259	7575367	7575391
580	chr6	7575474	7575494	7575343	7575366
581	chr6	7575454	7575473	7575581	7575605
582	chr6	7575688	7575708	7575557	7575580
583	chr6	7575666	7575686	7575794	7575817
584	chr6	7575770	7575791	7575899	7575921
585	chr6	7576006	7576026	7575875	7575898
586	chr6	7575959	7575978	7576086	7576110
587	chr6	7576058	7576077	7576185	7576209
588	chr6	7576292	7576313	7576162	7576184
589	chr6	7576391	7576410	7576259	7576283
590	chr6	7576346	7576366	7576474	7576497
591	chr6	7576453	7576473	7576581	7576604
592	chr6	7576681	7576700	7576549	7576573
593	chr6	7576767	7576788	7576637	7576659
594	chr6	7576718	7576738	7576846	7576869
595	chr6	7576953	7576973	7576822	7576845
596	chr6	7576903	7576922	7577030	7577054
597	chr6	7576986	7577005	7577113	7577137
598	chr6	7577086	7577106	7577214	7577237
599	chr6	7577194	7577213	7577321	7577345
